,value,Iteration,Model,Dataset,DataType
2,75.23364485981308,2,sparselabelpropagation,musk,image
3,75.23364485981308,3,sparselabelpropagation,musk,image
4,76.16822429906541,4,sparselabelpropagation,musk,image
5,79.90654205607476,5,sparselabelpropagation,musk,image
6,76.40186915887851,6,sparselabelpropagation,musk,image
7,78.03738317757009,7,sparselabelpropagation,musk,image
8,79.2056074766355,8,sparselabelpropagation,musk,image
9,77.33644859813084,9,sparselabelpropagation,musk,image
0,80.60747663551402,0,centeredkernel,musk,image
1,80.84112149532709,1,centeredkernel,musk,image
2,82.47663551401871,2,centeredkernel,musk,image
3,77.80373831775701,3,centeredkernel,musk,image
4,78.97196261682242,4,centeredkernel,musk,image
5,80.84112149532709,5,centeredkernel,musk,image
6,84.11214953271029,6,centeredkernel,musk,image
7,80.14018691588784,7,centeredkernel,musk,image
8,75.93457943925233,8,centeredkernel,musk,image
9,79.67289719626169,9,centeredkernel,musk,image
0,99.93815708101424,0,laplace,digits,image
1,99.87631416202845,1,laplace,digits,image
2,83.98268398268398,2,laplace,digits,image
3,99.69078540507113,3,laplace,digits,image
4,99.81447124304268,4,laplace,digits,image
5,99.87631416202845,5,laplace,digits,image
6,99.75262832405691,6,laplace,digits,image
7,99.69078540507113,7,laplace,digits,image
8,99.87631416202845,8,laplace,digits,image
9,99.75262832405691,9,laplace,digits,image
0,99.81447124304268,0,randomwalk,digits,image
1,99.62894248608536,1,randomwalk,digits,image
2,99.56709956709958,2,randomwalk,digits,image
3,99.5052566481138,3,randomwalk,digits,image
4,99.75262832405691,4,randomwalk,digits,image
5,99.69078540507113,5,randomwalk,digits,image
6,99.75262832405691,6,randomwalk,digits,image
7,99.38157081014224,7,randomwalk,digits,image
8,99.5052566481138,8,randomwalk,digits,image
9,99.81447124304268,9,randomwalk,digits,image
0,99.87631416202845,0,wnll,digits,image
1,99.87631416202845,1,wnll,digits,image
2,99.75262832405691,2,wnll,digits,image
3,99.81447124304268,3,wnll,digits,image
4,99.81447124304268,4,wnll,digits,image
5,99.93815708101424,5,wnll,digits,image
6,99.81447124304268,6,wnll,digits,image
7,99.87631416202845,7,wnll,digits,image
8,99.75262832405691,8,wnll,digits,image
9,99.93815708101424,9,wnll,digits,image
0,99.81447124304268,0,mean_shifted_laplace,digits,image
1,99.81447124304268,1,mean_shifted_laplace,digits,image
2,100.0,2,mean_shifted_laplace,digits,image
3,99.81447124304268,3,mean_shifted_laplace,digits,image
4,99.87631416202845,4,mean_shifted_laplace,digits,image
5,99.81447124304268,5,mean_shifted_laplace,digits,image
6,99.69078540507113,6,mean_shifted_laplace,digits,image
7,99.87631416202845,7,mean_shifted_laplace,digits,image
8,99.87631416202845,8,mean_shifted_laplace,digits,image
9,83.61162646876933,9,mean_shifted_laplace,digits,image
0,99.62894248608536,0,poissonmbo_old,digits,image
1,99.81447124304268,1,poissonmbo_old,digits,image
2,99.56709956709958,2,poissonmbo_old,digits,image
3,99.75262832405691,3,poissonmbo_old,digits,image
4,99.75262832405691,4,poissonmbo_old,digits,image
5,99.69078540507113,5,poissonmbo_old,digits,image
6,99.75262832405691,6,poissonmbo_old,digits,image
7,99.75262832405691,7,poissonmbo_old,digits,image
8,99.5052566481138,8,poissonmbo_old,digits,image
9,99.81447124304268,9,poissonmbo_old,digits,image
0,99.81447124304268,0,poissonmbobalanced,digits,image
1,99.75262832405691,1,poissonmbobalanced,digits,image
2,99.62894248608536,2,poissonmbobalanced,digits,image
3,99.69078540507113,3,poissonmbobalanced,digits,image
4,99.75262832405691,4,poissonmbobalanced,digits,image
5,99.56709956709958,5,poissonmbobalanced,digits,image
6,99.93815708101424,6,poissonmbobalanced,digits,image
7,99.75262832405691,7,poissonmbobalanced,digits,image
8,99.81447124304268,8,poissonmbobalanced,digits,image
9,99.75262832405691,9,poissonmbobalanced,digits,image
0,99.19604205318493,0,poisson2,digits,image
1,99.56709956709958,1,poisson2,digits,image
2,99.2578849721707,2,poisson2,digits,image
3,99.62894248608536,3,poisson2,digits,image
4,99.38157081014224,4,poisson2,digits,image
5,99.56709956709958,5,poisson2,digits,image
6,99.13419913419914,6,poisson2,digits,image
7,99.5052566481138,7,poisson2,digits,image
8,99.07235621521336,8,poisson2,digits,image
9,99.2578849721707,9,poisson2,digits,image
0,99.69078540507113,0,poisson,digits,image
1,99.62894248608536,1,poisson,digits,image
2,99.62894248608536,2,poisson,digits,image
3,99.62894248608536,3,poisson,digits,image
4,99.5052566481138,4,poisson,digits,image
5,99.62894248608536,5,poisson,digits,image
6,99.62894248608536,6,poisson,digits,image
7,99.56709956709958,7,poisson,digits,image
8,99.38157081014224,8,poisson,digits,image
9,99.62894248608536,9,poisson,digits,image
0,99.62894248608536,0,poissonbalanced,digits,image
1,99.81447124304268,1,poissonbalanced,digits,image
2,99.62894248608536,2,poissonbalanced,digits,image
3,99.56709956709958,3,poissonbalanced,digits,image
4,99.69078540507113,4,poissonbalanced,digits,image
5,99.62894248608536,5,poissonbalanced,digits,image
6,99.2578849721707,6,poissonbalanced,digits,image
7,99.62894248608536,7,poissonbalanced,digits,image
8,99.62894248608536,8,poissonbalanced,digits,image
9,99.69078540507113,9,poissonbalanced,digits,image
0,99.62894248608536,0,poissonvolume,digits,image
1,99.56709956709958,1,poissonvolume,digits,image
2,99.5052566481138,2,poissonvolume,digits,image
3,99.5052566481138,3,poissonvolume,digits,image
4,99.62894248608536,4,poissonvolume,digits,image
5,99.5052566481138,5,poissonvolume,digits,image
6,99.62894248608536,6,poissonvolume,digits,image
7,99.69078540507113,7,poissonvolume,digits,image
8,99.38157081014224,8,poissonvolume,digits,image
9,99.5052566481138,9,poissonvolume,digits,image
0,99.75262832405691,0,poissonmbo,digits,image
1,99.5052566481138,1,poissonmbo,digits,image
2,99.81447124304268,2,poissonmbo,digits,image
3,99.75262832405691,3,poissonmbo,digits,image
4,99.69078540507113,4,poissonmbo,digits,image
5,99.81447124304268,5,poissonmbo,digits,image
6,99.62894248608536,6,poissonmbo,digits,image
7,99.81447124304268,7,poissonmbo,digits,image
8,99.75262832405691,8,poissonmbo,digits,image
9,99.69078540507113,9,poissonmbo,digits,image
0,99.69078540507113,0,sparselabelpropagation,digits,image
1,99.69078540507113,1,sparselabelpropagation,digits,image
2,99.62894248608536,2,sparselabelpropagation,digits,image
3,99.5052566481138,3,sparselabelpropagation,digits,image
4,99.87631416202845,4,sparselabelpropagation,digits,image
5,99.75262832405691,5,sparselabelpropagation,digits,image
6,99.75262832405691,6,sparselabelpropagation,digits,image
7,99.69078540507113,7,sparselabelpropagation,digits,image
8,99.75262832405691,8,sparselabelpropagation,digits,image
9,99.62894248608536,9,sparselabelpropagation,digits,image
0,99.93815708101424,0,centeredkernel,digits,image
1,99.87631416202845,1,centeredkernel,digits,image
2,99.69078540507113,2,centeredkernel,digits,image
3,99.75262832405691,3,centeredkernel,digits,image
4,99.62894248608536,4,centeredkernel,digits,image
5,99.81447124304268,5,centeredkernel,digits,image
6,99.69078540507113,6,centeredkernel,digits,image
7,99.62894248608536,7,centeredkernel,digits,image
8,99.69078540507113,8,centeredkernel,digits,image
9,99.69078540507113,9,centeredkernel,digits,image
0,100.0,0,laplace,fashionmnist,image
1,100.0,1,laplace,fashionmnist,image
2,100.0,2,laplace,fashionmnist,image
3,100.0,3,laplace,fashionmnist,image
4,100.0,4,laplace,fashionmnist,image
5,100.0,5,laplace,fashionmnist,image
6,100.0,6,laplace,fashionmnist,image
7,100.0,7,laplace,fashionmnist,image
8,100.0,8,laplace,fashionmnist,image
9,100.0,9,laplace,fashionmnist,image
0,100.0,0,randomwalk,fashionmnist,image
1,100.0,1,randomwalk,fashionmnist,image
2,100.0,2,randomwalk,fashionmnist,image
3,100.0,3,randomwalk,fashionmnist,image
4,100.0,4,randomwalk,fashionmnist,image
5,100.0,5,randomwalk,fashionmnist,image
6,100.0,6,randomwalk,fashionmnist,image
7,100.0,7,randomwalk,fashionmnist,image
8,100.0,8,randomwalk,fashionmnist,image
9,100.0,9,randomwalk,fashionmnist,image
0,100.0,0,wnll,fashionmnist,image
1,100.0,1,wnll,fashionmnist,image
2,100.0,2,wnll,fashionmnist,image
3,100.0,3,wnll,fashionmnist,image
4,100.0,4,wnll,fashionmnist,image
5,100.0,5,wnll,fashionmnist,image
6,100.0,6,wnll,fashionmnist,image
7,100.0,7,wnll,fashionmnist,image
8,100.0,8,wnll,fashionmnist,image
9,100.0,9,wnll,fashionmnist,image
0,100.0,0,mean_shifted_laplace,fashionmnist,image
1,100.0,1,mean_shifted_laplace,fashionmnist,image
2,100.0,2,mean_shifted_laplace,fashionmnist,image
3,100.0,3,mean_shifted_laplace,fashionmnist,image
4,100.0,4,mean_shifted_laplace,fashionmnist,image
5,100.0,5,mean_shifted_laplace,fashionmnist,image
6,100.0,6,mean_shifted_laplace,fashionmnist,image
7,100.0,7,mean_shifted_laplace,fashionmnist,image
8,100.0,8,mean_shifted_laplace,fashionmnist,image
9,100.0,9,mean_shifted_laplace,fashionmnist,image
0,100.0,0,poissonmbo_old,fashionmnist,image
1,100.0,1,poissonmbo_old,fashionmnist,image
2,100.0,2,poissonmbo_old,fashionmnist,image
3,100.0,3,poissonmbo_old,fashionmnist,image
4,100.0,4,poissonmbo_old,fashionmnist,image
5,100.0,5,poissonmbo_old,fashionmnist,image
6,100.0,6,poissonmbo_old,fashionmnist,image
7,100.0,7,poissonmbo_old,fashionmnist,image
8,100.0,8,poissonmbo_old,fashionmnist,image
9,100.0,9,poissonmbo_old,fashionmnist,image
0,100.0,0,poissonmbobalanced,fashionmnist,image
1,100.0,1,poissonmbobalanced,fashionmnist,image
2,100.0,2,poissonmbobalanced,fashionmnist,image
3,100.0,3,poissonmbobalanced,fashionmnist,image
4,100.0,4,poissonmbobalanced,fashionmnist,image
5,100.0,5,poissonmbobalanced,fashionmnist,image
6,100.0,6,poissonmbobalanced,fashionmnist,image
7,100.0,7,poissonmbobalanced,fashionmnist,image
8,100.0,8,poissonmbobalanced,fashionmnist,image
9,100.0,9,poissonmbobalanced,fashionmnist,image
0,100.0,0,poisson2,fashionmnist,image
1,100.0,1,poisson2,fashionmnist,image
2,100.0,2,poisson2,fashionmnist,image
3,100.0,3,poisson2,fashionmnist,image
4,100.0,4,poisson2,fashionmnist,image
5,100.0,5,poisson2,fashionmnist,image
6,100.0,6,poisson2,fashionmnist,image
7,100.0,7,poisson2,fashionmnist,image
8,100.0,8,poisson2,fashionmnist,image
9,100.0,9,poisson2,fashionmnist,image
0,100.0,0,poisson,fashionmnist,image
1,100.0,1,poisson,fashionmnist,image
2,100.0,2,poisson,fashionmnist,image
3,100.0,3,poisson,fashionmnist,image
4,100.0,4,poisson,fashionmnist,image
5,100.0,5,poisson,fashionmnist,image
6,100.0,6,poisson,fashionmnist,image
7,100.0,7,poisson,fashionmnist,image
8,100.0,8,poisson,fashionmnist,image
9,100.0,9,poisson,fashionmnist,image
0,100.0,0,poissonbalanced,fashionmnist,image
1,100.0,1,poissonbalanced,fashionmnist,image
2,100.0,2,poissonbalanced,fashionmnist,image
3,100.0,3,poissonbalanced,fashionmnist,image
4,100.0,4,poissonbalanced,fashionmnist,image
5,100.0,5,poissonbalanced,fashionmnist,image
6,100.0,6,poissonbalanced,fashionmnist,image
7,100.0,7,poissonbalanced,fashionmnist,image
8,100.0,8,poissonbalanced,fashionmnist,image
9,100.0,9,poissonbalanced,fashionmnist,image
0,100.0,0,poissonvolume,fashionmnist,image
1,100.0,1,poissonvolume,fashionmnist,image
2,100.0,2,poissonvolume,fashionmnist,image
3,100.0,3,poissonvolume,fashionmnist,image
4,100.0,4,poissonvolume,fashionmnist,image
5,100.0,5,poissonvolume,fashionmnist,image
6,100.0,6,poissonvolume,fashionmnist,image
7,100.0,7,poissonvolume,fashionmnist,image
8,100.0,8,poissonvolume,fashionmnist,image
9,100.0,9,poissonvolume,fashionmnist,image
0,100.0,0,poissonmbo,fashionmnist,image
1,100.0,1,poissonmbo,fashionmnist,image
2,100.0,2,poissonmbo,fashionmnist,image
3,100.0,3,poissonmbo,fashionmnist,image
4,100.0,4,poissonmbo,fashionmnist,image
5,100.0,5,poissonmbo,fashionmnist,image
6,100.0,6,poissonmbo,fashionmnist,image
7,100.0,7,poissonmbo,fashionmnist,image
8,100.0,8,poissonmbo,fashionmnist,image
9,100.0,9,poissonmbo,fashionmnist,image
0,100.0,0,sparselabelpropagation,fashionmnist,image
1,100.0,1,sparselabelpropagation,fashionmnist,image
2,100.0,2,sparselabelpropagation,fashionmnist,image
3,100.0,3,sparselabelpropagation,fashionmnist,image
4,100.0,4,sparselabelpropagation,fashionmnist,image
5,100.0,5,sparselabelpropagation,fashionmnist,image
6,100.0,6,sparselabelpropagation,fashionmnist,image
7,100.0,7,sparselabelpropagation,fashionmnist,image
8,100.0,8,sparselabelpropagation,fashionmnist,image
9,100.0,9,sparselabelpropagation,fashionmnist,image
0,100.0,0,centeredkernel,fashionmnist,image
1,100.0,1,centeredkernel,fashionmnist,image
2,100.0,2,centeredkernel,fashionmnist,image
3,100.0,3,centeredkernel,fashionmnist,image
4,100.0,4,centeredkernel,fashionmnist,image
5,100.0,5,centeredkernel,fashionmnist,image
6,100.0,6,centeredkernel,fashionmnist,image
7,100.0,7,centeredkernel,fashionmnist,image
8,100.0,8,centeredkernel,fashionmnist,image
9,100.0,9,centeredkernel,fashionmnist,image
0,100.0,0,laplace,cifar,image
1,100.0,1,laplace,cifar,image
2,100.0,2,laplace,cifar,image
3,100.0,3,laplace,cifar,image
4,100.0,4,laplace,cifar,image
5,100.0,5,laplace,cifar,image
6,100.0,6,laplace,cifar,image
7,100.0,7,laplace,cifar,image
8,100.0,8,laplace,cifar,image
9,100.0,9,laplace,cifar,image
0,100.0,0,randomwalk,cifar,image
1,100.0,1,randomwalk,cifar,image
2,100.0,2,randomwalk,cifar,image
3,100.0,3,randomwalk,cifar,image
4,100.0,4,randomwalk,cifar,image
5,100.0,5,randomwalk,cifar,image
6,100.0,6,randomwalk,cifar,image
7,100.0,7,randomwalk,cifar,image
8,100.0,8,randomwalk,cifar,image
9,100.0,9,randomwalk,cifar,image
0,100.0,0,wnll,cifar,image
1,100.0,1,wnll,cifar,image
2,100.0,2,wnll,cifar,image
3,100.0,3,wnll,cifar,image
4,100.0,4,wnll,cifar,image
5,100.0,5,wnll,cifar,image
6,100.0,6,wnll,cifar,image
7,100.0,7,wnll,cifar,image
8,100.0,8,wnll,cifar,image
9,100.0,9,wnll,cifar,image
0,100.0,0,mean_shifted_laplace,cifar,image
1,100.0,1,mean_shifted_laplace,cifar,image
2,100.0,2,mean_shifted_laplace,cifar,image
3,100.0,3,mean_shifted_laplace,cifar,image
4,100.0,4,mean_shifted_laplace,cifar,image
5,100.0,5,mean_shifted_laplace,cifar,image
6,100.0,6,mean_shifted_laplace,cifar,image
7,100.0,7,mean_shifted_laplace,cifar,image
8,100.0,8,mean_shifted_laplace,cifar,image
9,100.0,9,mean_shifted_laplace,cifar,image
0,100.0,0,poissonmbo_old,cifar,image
1,100.0,1,poissonmbo_old,cifar,image
2,100.0,2,poissonmbo_old,cifar,image
3,100.0,3,poissonmbo_old,cifar,image
4,100.0,4,poissonmbo_old,cifar,image
5,100.0,5,poissonmbo_old,cifar,image
6,100.0,6,poissonmbo_old,cifar,image
7,100.0,7,poissonmbo_old,cifar,image
8,100.0,8,poissonmbo_old,cifar,image
9,100.0,9,poissonmbo_old,cifar,image
0,100.0,0,poissonmbobalanced,cifar,image
1,100.0,1,poissonmbobalanced,cifar,image
2,100.0,2,poissonmbobalanced,cifar,image
3,100.0,3,poissonmbobalanced,cifar,image
4,100.0,4,poissonmbobalanced,cifar,image
5,100.0,5,poissonmbobalanced,cifar,image
6,100.0,6,poissonmbobalanced,cifar,image
7,100.0,7,poissonmbobalanced,cifar,image
8,100.0,8,poissonmbobalanced,cifar,image
9,100.0,9,poissonmbobalanced,cifar,image
0,100.0,0,poisson2,cifar,image
1,100.0,1,poisson2,cifar,image
2,100.0,2,poisson2,cifar,image
3,100.0,3,poisson2,cifar,image
4,100.0,4,poisson2,cifar,image
5,100.0,5,poisson2,cifar,image
6,100.0,6,poisson2,cifar,image
7,100.0,7,poisson2,cifar,image
8,100.0,8,poisson2,cifar,image
9,100.0,9,poisson2,cifar,image
0,100.0,0,poisson,cifar,image
1,100.0,1,poisson,cifar,image
2,100.0,2,poisson,cifar,image
3,100.0,3,poisson,cifar,image
4,100.0,4,poisson,cifar,image
5,100.0,5,poisson,cifar,image
6,100.0,6,poisson,cifar,image
7,100.0,7,poisson,cifar,image
8,100.0,8,poisson,cifar,image
9,100.0,9,poisson,cifar,image
0,100.0,0,poissonbalanced,cifar,image
1,100.0,1,poissonbalanced,cifar,image
2,100.0,2,poissonbalanced,cifar,image
3,100.0,3,poissonbalanced,cifar,image
4,100.0,4,poissonbalanced,cifar,image
5,100.0,5,poissonbalanced,cifar,image
6,100.0,6,poissonbalanced,cifar,image
7,100.0,7,poissonbalanced,cifar,image
8,100.0,8,poissonbalanced,cifar,image
9,100.0,9,poissonbalanced,cifar,image
0,100.0,0,poissonvolume,cifar,image
1,100.0,1,poissonvolume,cifar,image
2,100.0,2,poissonvolume,cifar,image
3,100.0,3,poissonvolume,cifar,image
4,100.0,4,poissonvolume,cifar,image
5,100.0,5,poissonvolume,cifar,image
6,100.0,6,poissonvolume,cifar,image
7,100.0,7,poissonvolume,cifar,image
8,100.0,8,poissonvolume,cifar,image
9,100.0,9,poissonvolume,cifar,image
0,100.0,0,poissonmbo,cifar,image
1,100.0,1,poissonmbo,cifar,image
2,100.0,2,poissonmbo,cifar,image
3,100.0,3,poissonmbo,cifar,image
4,100.0,4,poissonmbo,cifar,image
5,100.0,5,poissonmbo,cifar,image
6,100.0,6,poissonmbo,cifar,image
7,100.0,7,poissonmbo,cifar,image
8,100.0,8,poissonmbo,cifar,image
9,100.0,9,poissonmbo,cifar,image
0,100.0,0,sparselabelpropagation,cifar,image
1,100.0,1,sparselabelpropagation,cifar,image
2,100.0,2,sparselabelpropagation,cifar,image
3,100.0,3,sparselabelpropagation,cifar,image
4,100.0,4,sparselabelpropagation,cifar,image
5,100.0,5,sparselabelpropagation,cifar,image
6,100.0,6,sparselabelpropagation,cifar,image
7,100.0,7,sparselabelpropagation,cifar,image
8,100.0,8,sparselabelpropagation,cifar,image
9,100.0,9,sparselabelpropagation,cifar,image
0,100.0,0,centeredkernel,cifar,image
1,100.0,1,centeredkernel,cifar,image
2,100.0,2,centeredkernel,cifar,image
3,100.0,3,centeredkernel,cifar,image
4,100.0,4,centeredkernel,cifar,image
5,100.0,5,centeredkernel,cifar,image
6,100.0,6,centeredkernel,cifar,image
7,100.0,7,centeredkernel,cifar,image
8,100.0,8,centeredkernel,cifar,image
9,100.0,9,centeredkernel,cifar,image
0,99.02063492063492,0,laplace,mnist,image
1,99.01428571428572,1,laplace,mnist,image
2,99.12857142857143,2,laplace,mnist,image
3,99.04761904761904,3,laplace,mnist,image
4,99.115873015873,4,laplace,mnist,image
5,99.08253968253969,5,laplace,mnist,image
6,99.0238095238095,6,laplace,mnist,image
7,99.06984126984129,7,laplace,mnist,image
8,99.07936507936508,8,laplace,mnist,image
9,99.02222222222224,9,laplace,mnist,image
0,98.33492063492064,0,randomwalk,mnist,image
1,98.35555555555555,1,randomwalk,mnist,image
2,98.4,2,randomwalk,mnist,image
3,98.3873015873016,3,randomwalk,mnist,image
4,98.3952380952381,4,randomwalk,mnist,image
5,98.37301587301589,5,randomwalk,mnist,image
6,98.4,6,randomwalk,mnist,image
7,98.43174603174604,7,randomwalk,mnist,image
8,98.38571428571429,8,randomwalk,mnist,image
9,98.4015873015873,9,randomwalk,mnist,image
0,99.03650793650793,0,wnll,mnist,image
1,99.07777777777778,1,wnll,mnist,image
2,99.0126984126984,2,wnll,mnist,image
3,99.07301587301588,3,wnll,mnist,image
4,99.08253968253969,4,wnll,mnist,image
5,99.07301587301588,5,wnll,mnist,image
6,99.03968253968254,6,wnll,mnist,image
7,99.05238095238096,7,wnll,mnist,image
8,99.03174603174604,8,wnll,mnist,image
9,99.04126984126984,9,wnll,mnist,image
0,99.09047619047621,0,mean_shifted_laplace,mnist,image
1,99.06031746031746,1,mean_shifted_laplace,mnist,image
2,99.06031746031746,2,mean_shifted_laplace,mnist,image
3,99.05238095238096,3,mean_shifted_laplace,mnist,image
4,99.0174603174603,4,mean_shifted_laplace,mnist,image
5,99.04444444444445,5,mean_shifted_laplace,mnist,image
6,99.06190476190477,6,mean_shifted_laplace,mnist,image
7,99.04761904761904,7,mean_shifted_laplace,mnist,image
8,99.03333333333332,8,mean_shifted_laplace,mnist,image
9,99.03492063492064,9,mean_shifted_laplace,mnist,image
0,98.71746031746031,0,poissonmbo_old,mnist,image
1,98.66666666666669,1,poissonmbo_old,mnist,image
2,98.7238095238095,2,poissonmbo_old,mnist,image
3,98.6873015873016,3,poissonmbo_old,mnist,image
4,98.67142857142859,4,poissonmbo_old,mnist,image
5,98.76825396825396,5,poissonmbo_old,mnist,image
6,98.66825396825395,6,poissonmbo_old,mnist,image
7,98.65079365079364,7,poissonmbo_old,mnist,image
8,98.66507936507936,8,poissonmbo_old,mnist,image
9,98.75714285714285,9,poissonmbo_old,mnist,image
0,98.7063492063492,0,poissonmbobalanced,mnist,image
1,98.63650793650793,1,poissonmbobalanced,mnist,image
2,98.73968253968252,2,poissonmbobalanced,mnist,image
3,98.66984126984129,3,poissonmbobalanced,mnist,image
4,98.68095238095238,4,poissonmbobalanced,mnist,image
5,98.70476190476192,5,poissonmbobalanced,mnist,image
6,98.70793650793651,6,poissonmbobalanced,mnist,image
7,98.67460317460319,7,poissonmbobalanced,mnist,image
8,98.63333333333334,8,poissonmbobalanced,mnist,image
9,98.77301587301588,9,poissonmbobalanced,mnist,image
0,96.75714285714285,0,poisson2,mnist,image
1,96.75714285714285,1,poisson2,mnist,image
2,96.74126984126984,2,poisson2,mnist,image
3,96.8031746031746,3,poisson2,mnist,image
4,96.70317460317459,4,poisson2,mnist,image
5,96.64761904761903,5,poisson2,mnist,image
6,96.77301587301588,6,poisson2,mnist,image
7,96.58253968253969,7,poisson2,mnist,image
8,96.8904761904762,8,poisson2,mnist,image
9,96.72063492063492,9,poisson2,mnist,image
0,98.54920634920636,0,poisson,mnist,image
1,98.58888888888887,1,poisson,mnist,image
2,98.57301587301588,2,poisson,mnist,image
3,98.52539682539684,3,poisson,mnist,image
4,98.56190476190477,4,poisson,mnist,image
5,98.56666666666666,5,poisson,mnist,image
6,98.57301587301588,6,poisson,mnist,image
7,98.65238095238097,7,poisson,mnist,image
8,98.56984126984129,8,poisson,mnist,image
9,98.61111111111113,9,poisson,mnist,image
0,98.55555555555556,0,poissonbalanced,mnist,image
1,98.58730158730158,1,poissonbalanced,mnist,image
2,98.55238095238096,2,poissonbalanced,mnist,image
3,98.56825396825396,3,poissonbalanced,mnist,image
4,98.55396825396824,4,poissonbalanced,mnist,image
5,98.61904761904762,5,poissonbalanced,mnist,image
6,98.51904761904764,6,poissonbalanced,mnist,image
7,98.58730158730158,7,poissonbalanced,mnist,image
8,98.58730158730158,8,poissonbalanced,mnist,image
9,98.58888888888887,9,poissonbalanced,mnist,image
0,98.56031746031746,0,poissonvolume,mnist,image
1,98.58253968253969,1,poissonvolume,mnist,image
2,98.55079365079365,2,poissonvolume,mnist,image
3,98.55555555555556,3,poissonvolume,mnist,image
4,98.55873015873016,4,poissonvolume,mnist,image
5,98.6,5,poissonvolume,mnist,image
6,98.5984126984127,6,poissonvolume,mnist,image
7,98.5174603174603,7,poissonvolume,mnist,image
8,98.615873015873,8,poissonvolume,mnist,image
9,98.56666666666666,9,poissonvolume,mnist,image
0,98.76507936507936,0,poissonmbo,mnist,image
1,98.75555555555556,1,poissonmbo,mnist,image
2,98.7015873015873,2,poissonmbo,mnist,image
3,98.6936507936508,3,poissonmbo,mnist,image
4,98.66190476190478,4,poissonmbo,mnist,image
5,98.66984126984129,5,poissonmbo,mnist,image
6,98.7238095238095,6,poissonmbo,mnist,image
7,98.56031746031746,7,poissonmbo,mnist,image
8,98.63809523809523,8,poissonmbo,mnist,image
9,98.684126984127,9,poissonmbo,mnist,image
0,98.9761904761905,0,sparselabelpropagation,mnist,image
1,98.984126984127,1,sparselabelpropagation,mnist,image
2,98.92222222222222,2,sparselabelpropagation,mnist,image
3,98.87936507936509,3,sparselabelpropagation,mnist,image
4,98.92380952380951,4,sparselabelpropagation,mnist,image
5,98.99682539682541,5,sparselabelpropagation,mnist,image
6,98.93174603174604,6,sparselabelpropagation,mnist,image
7,98.92857142857143,7,sparselabelpropagation,mnist,image
8,98.93333333333334,8,sparselabelpropagation,mnist,image
9,98.94920634920635,9,sparselabelpropagation,mnist,image
0,98.92539682539685,0,centeredkernel,mnist,image
1,98.94603174603176,1,centeredkernel,mnist,image
2,98.89206349206349,2,centeredkernel,mnist,image
3,99.04603174603174,3,centeredkernel,mnist,image
4,98.93174603174604,4,centeredkernel,mnist,image
5,98.9904761904762,5,centeredkernel,mnist,image
6,99.0238095238095,6,centeredkernel,mnist,image
7,99.07142857142857,7,centeredkernel,mnist,image
8,98.93809523809523,8,centeredkernel,mnist,image
9,98.99841269841271,9,centeredkernel,mnist,image
0,70.55298283846362,0,laplace,reuters,text
1,68.75510760010896,1,laplace,reuters,text
2,70.3350585671479,2,laplace,reuters,text
3,68.15581585399075,3,laplace,reuters,text
4,70.71642604195044,4,laplace,reuters,text
5,70.06265322800327,5,laplace,reuters,text
6,70.60746390629257,6,laplace,reuters,text
7,70.03541269408879,7,laplace,reuters,text
8,69.70852628711523,8,laplace,reuters,text
9,69.59956415145737,9,laplace,reuters,text
0,82.83846363388723,0,randomwalk,reuters,text
1,82.7022609643149,1,randomwalk,reuters,text
2,82.51157722691364,2,randomwalk,reuters,text
3,83.79188232089349,3,randomwalk,reuters,text
4,83.1653500408608,4,randomwalk,reuters,text
5,82.83846363388723,5,randomwalk,reuters,text
6,83.5467175156633,6,randomwalk,reuters,text
7,82.72950149822938,7,randomwalk,reuters,text
